var temp_adv_data = `one_position,int_process,predicted,lower,upper,Class_Group,Class_Grp_Lvl,Dept_Code,Language,Region_NCR
0,0,79.18405694,62.72691383,99.95892498,EG,EG06,ANY,ANY,ANY
0,0,96.49999986,31.89926394,291.9267978,EL,EL01,ANY,ANY,ANY
0,0,82,17.09856693,393.2493306,EL,EL02,ANY,ANY,ANY
0,0,104.7315211,57.29556802,191.4404882,EL,EL05,ANY,ANY,ANY
0,0,97.3565468,58.80917297,161.1703876,EL,EL06,ANY,ANY,ANY
0,0,107.9561351,45.04585325,258.7258596,EL,EL07,ANY,ANY,ANY
0,0,91.38770413,68.45326225,122.0060548,EN,EN03,ANY,ANY,ANY
0,0,63.07497108,49.56439847,80.26833976,EN,EN04,ANY,ANY,ANY
0,0,113.4749914,77.49076317,166.1691427,EN,EN05,ANY,ANY,ANY
0,0,39,8.000061163,190.1235464,EU,EU01,ANY,ANY,ANY
0,0,248.1303116,216.6904319,284.1318418,EX,EX01,ANY,ANY,ANY
0,0,135.7705212,113.8188161,161.9559494,EX,EX02,ANY,ANY,ANY
0,0,99.43007526,81.21811532,121.7257976,EX,EX03,ANY,ANY,ANY
0,0,316.3293722,251.7107984,397.5366665,FI,FI01,ANY,ANY,ANY
0,0,206.395802,170.8877149,249.2819749,FI,FI02,ANY,ANY,ANY
0,0,163.3266534,124.1091873,214.9365111,FI,FI04,ANY,ANY,ANY
0,0,135,28.31599858,643.6290758,FR,FR00,ANY,ANY,ANY
0,0,140.2995739,46.27704437,425.3506396,FR,FR01,ANY,ANY,ANY
0,0,60.67450017,29.2472173,125.871632,FR,FR02,ANY,ANY,ANY
0,0,20.85714277,11.34551447,38.34294209,GL,GL00,ANY,ANY,ANY
0,0,66.95654095,46.84501473,95.70235812,GL,GL05,ANY,ANY,ANY
0,0,49.91472865,34.39728248,72.43247015,GL,GL06,ANY,ANY,ANY
0,0,43.92152771,27.37183979,70.47756421,GL,GL07,ANY,ANY,ANY
0,0,37.51041749,24.9433973,56.40897282,GL,GL08,ANY,ANY,ANY
0,0,44.8426602,32.41300395,62.03880938,GL,GL09,ANY,ANY,ANY
0,0,57.18811631,43.48667533,75.20649998,GL,GL10,ANY,ANY,ANY
0,0,122.198949,75.9589406,196.5875646,GL,GL11,ANY,ANY,ANY
0,0,70.88932989,28.57762557,175.8472578,GL,GL12,ANY,ANY,ANY
0,0,40.90676357,13.09963287,127.7412369,GL,GL13,ANY,ANY,ANY
0,0,34.89060766,22.37665091,54.40289111,GS,GS02,ANY,ANY,ANY
0,0,45.77356248,26.24642475,79.82874017,GS,GS03,ANY,ANY,ANY
0,0,152.0670172,102.5593513,225.4731278,GS,GS04,ANY,ANY,ANY
0,0,70.9430431,51.70491039,97.33921454,GS,GS05,ANY,ANY,ANY
0,0,151.3210605,91.42708402,250.4516422,GS,GS06,ANY,ANY,ANY
0,0,70.85631856,31.40504224,159.8666176,GS,GS07,ANY,ANY,ANY
0,0,57.7625106,22.68540074,147.0773062,GS,GS08,ANY,ANY,ANY
0,0,116.9374982,72.70278679,188.0860291,GT,GT01,ANY,ANY,ANY
0,0,93.03805253,48.01973639,180.260865,GT,GT02,ANY,ANY,ANY
0,0,54.33040052,38.33373017,77.00248339,GT,GT03,ANY,ANY,ANY
0,0,114.6360627,88.19947083,148.9966635,GT,GT04,ANY,ANY,ANY
0,0,56.48258931,37.72148712,84.57468512,GT,GT05,ANY,ANY,ANY
0,0,75.33370305,50.07333036,113.3371153,GT,GT06,ANY,ANY,ANY
0,0,33.66666664,13.45137562,84.26234421,HP,HP03,ANY,ANY,ANY
0,0,34.53296786,17.87749389,66.70542731,HP,HP04,ANY,ANY,ANY
0,0,18.95753009,8.896619597,40.39601146,HP,HP05,ANY,ANY,ANY
0,0,21.32591241,5.727124625,79.41062401,HS,HS02,ANY,ANY,ANY
0,0,173.5377354,109.3699404,275.3530403,IS,IS02,ANY,ANY,ANY
0,0,129.6938577,105.235577,159.8365991,IS,IS03,ANY,ANY,ANY
0,0,147.5540667,120.0878848,181.3022408,IS,IS04,ANY,ANY,ANY
0,0,115.4362294,92.17082974,144.57419,IS,IS05,ANY,ANY,ANY
0,0,131.0251818,98.74330929,173.860876,IS,IS06,ANY,ANY,ANY
0,0,179.4275332,103.3295976,311.5684219,LP,LP00,ANY,ANY,ANY
0,0,145.4660653,96.64049759,218.9597187,LP,LP01,ANY,ANY,ANY
0,0,119.716462,88.38955893,162.1462019,LP,LP02,ANY,ANY,ANY
0,0,73.4612135,52.32756314,103.1301587,LP,LP03,ANY,ANY,ANY
0,0,33.54439915,13.12874426,85.7071089,MD,MD02,ANY,ANY,ANY
0,0,17.87987136,6.522819283,49.01098527,Multi,AR06,ANY,ANY,ANY
0,0,534.5223441,447.0650952,639.0884445,Multi,AS01,ANY,ANY,ANY
0,0,480.8842611,403.3585534,573.310447,Multi,AS02,ANY,ANY,ANY
0,0,343.7122034,286.7677578,411.9643005,Multi,AS05,ANY,ANY,ANY
0,0,286.0087927,234.5265747,348.7921556,Multi,AS06,ANY,ANY,ANY
0,0,316.2649415,249.9229779,400.2173552,Multi,AS07,ANY,ANY,ANY
0,0,461.5182553,193.5356334,1100.567871,Multi,BI03,ANY,ANY,ANY
0,0,178.341445,108.4002325,293.40962,Multi,CO01,ANY,ANY,ANY
